Case;Atividade;Inicio;Fim;Tempo(s)
78;Maquina trabalhando;19-01-2012 10:40:43;19-01-2012 10:41:27;44
78;Retirada do Produto;19-01-2012 10:41:27;19-01-2012 10:41:27;0
78;Alimentacao de Maquina;19-01-2012 10:41:27;19-01-2012 10:41:37;10
78;Parada de curta duracao;19-01-2012 10:41:37;19-01-2012 10:41:41;4
79;Maquina trabalhando;19-01-2012 10:41:41;19-01-2012 10:42:25;44
79;Retirada do Produto;19-01-2012 10:42:25;19-01-2012 10:42:25;0
79;Alimentacao de Maquina;19-01-2012 10:42:25;19-01-2012 10:42:35;10
79;Parada de curta duracao;19-01-2012 10:42:35;19-01-2012 10:42:39;4
80;Maquina trabalhando;19-01-2012 10:42:40;19-01-2012 10:43:23;43
80;Retirada do Produto;19-01-2012 10:43:23;19-01-2012 10:43:23;0
80;Alimentacao de Maquina;19-01-2012 10:43:23;19-01-2012 10:43:33;10
80;Parada de curta duracao;19-01-2012 10:43:33;19-01-2012 10:43:39;6
81;Maquina trabalhando;19-01-2012 10:43:40;19-01-2012 10:44:23;43
81;Retirada do Produto;19-01-2012 10:44:23;19-01-2012 10:44:23;0
81;Alimentacao de Maquina;19-01-2012 10:44:23;19-01-2012 10:44:33;10
81;Parada de curta duracao;19-01-2012 10:44:33;19-01-2012 10:44:39;6
82;Maquina trabalhando;19-01-2012 10:44:39;19-01-2012 10:45:23;44
82;Retirada do Produto;19-01-2012 10:45:23;19-01-2012 10:45:23;0
82;Alimentacao de Maquina;19-01-2012 10:45:23;19-01-2012 10:45:33;10
82;Parada de curta duracao;19-01-2012 10:45:33;19-01-2012 10:45:38;5
83;Maquina trabalhando;19-01-2012 10:45:38;19-01-2012 10:46:22;44
83;Retirada do Produto;19-01-2012 10:46:22;19-01-2012 10:46:22;0
83;Alimentacao de Maquina;19-01-2012 10:46:22;19-01-2012 10:46:32;10
83;Parada de curta duracao;19-01-2012 10:46:32;19-01-2012 10:47:28;56
84;Maquina trabalhando;19-01-2012 10:47:29;19-01-2012 10:48:13;44
84;Retirada do Produto;19-01-2012 10:48:13;19-01-2012 10:48:13;0
84;Alimentacao de Maquina;19-01-2012 10:48:13;19-01-2012 10:48:23;10
84;Parada de curta duracao;19-01-2012 10:48:23;19-01-2012 10:48:30;7
85;Maquina trabalhando;19-01-2012 10:48:31;19-01-2012 10:49:14;43
85;Retirada do Produto;19-01-2012 10:49:14;19-01-2012 10:49:14;0
85;Alimentacao de Maquina;19-01-2012 10:49:14;19-01-2012 10:49:24;10
85;Parada de curta duracao;19-01-2012 10:49:24;19-01-2012 10:50:40;76
86;Maquina trabalhando;19-01-2012 10:50:41;19-01-2012 10:51:24;43
86;Retirada do Produto;19-01-2012 10:51:24;19-01-2012 10:51:24;0
